pair_id,point_id,source_x,source_y,reference_x,reference_y,latitude,longitude,source,verification_method,accuracy,coordinate_system,independent,notes
pair_020,P001,13015.8,10341.6,UNKNOWN,UNKNOWN,-69.003816,341.279434,IIT_InterIIT_bilinear_interpolation,geospatially_derived,sub-degree_geographic_only,selenographic_IAU2015,false,Bilinear interp from OHRC corner coords. NOT manually verified. TMC-2 pixel NOT computed (image dims unavailable).
pair_020,P002,27542.3,10329.4,UNKNOWN,UNKNOWN,-69.003816,341.322708,IIT_InterIIT_bilinear_interpolation,geospatially_derived,sub-degree_geographic_only,selenographic_IAU2015,false,Bilinear interp from OHRC corner coords. NOT manually verified. TMC-2 pixel NOT computed (image dims unavailable).
pair_020,P003,42069.8,10317.1,UNKNOWN,UNKNOWN,-69.003816,341.365982,IIT_InterIIT_bilinear_interpolation,geospatially_derived,sub-degree_geographic_only,selenographic_IAU2015,false,Bilinear interp from OHRC corner coords. NOT manually verified. TMC-2 pixel NOT computed (image dims unavailable).
pair_020,P004,56598.4,10304.9,UNKNOWN,UNKNOWN,-69.003816,341.409255,IIT_InterIIT_bilinear_interpolation,geospatially_derived,sub-degree_geographic_only,selenographic_IAU2015,false,Bilinear interp from OHRC corner coords. NOT manually verified. TMC-2 pixel NOT computed (image dims unavailable).
pair_020,P005,71128.1,10292.7,UNKNOWN,UNKNOWN,-69.003816,341.452529,IIT_InterIIT_bilinear_interpolation,geospatially_derived,sub-degree_geographic_only,selenographic_IAU2015,false,Bilinear interp from OHRC corner coords. NOT manually verified. TMC-2 pixel NOT computed (image dims unavailable).
pair_020,P006,85658.9,10280.4,UNKNOWN,UNKNOWN,-69.003816,341.495803,IIT_InterIIT_bilinear_interpolation,geospatially_derived,sub-degree_geographic_only,selenographic_IAU2015,false,Bilinear interp from OHRC corner coords. NOT manually verified. TMC-2 pixel NOT computed (image dims unavailable).
pair_020,P007,11494.0,8617.5,UNKNOWN,UNKNOWN,-68.882478,341.279434,IIT_InterIIT_bilinear_interpolation,geospatially_derived,sub-degree_geographic_only,selenographic_IAU2015,false,Bilinear interp from OHRC corner coords. NOT manually verified. TMC-2 pixel NOT computed (image dims unavailable).
pair_020,P008,26096.9,8605.2,UNKNOWN,UNKNOWN,-68.882478,341.322708,IIT_InterIIT_bilinear_interpolation,geospatially_derived,sub-degree_geographic_only,selenographic_IAU2015,false,Bilinear interp from OHRC corner coords. NOT manually verified. TMC-2 pixel NOT computed (image dims unavailable).
pair_020,P009,40700.9,8592.9,UNKNOWN,UNKNOWN,-68.882478,341.365982,IIT_InterIIT_bilinear_interpolation,geospatially_derived,sub-degree_geographic_only,selenographic_IAU2015,false,Bilinear interp from OHRC corner coords. NOT manually verified. TMC-2 pixel NOT computed (image dims unavailable).
pair_020,P010,55306.0,8580.6,UNKNOWN,UNKNOWN,-68.882478,341.409255,IIT_InterIIT_bilinear_interpolation,geospatially_derived,sub-degree_geographic_only,selenographic_IAU2015,false,Bilinear interp from OHRC corner coords. NOT manually verified. TMC-2 pixel NOT computed (image dims unavailable).
pair_020,P011,69912.2,8568.3,UNKNOWN,UNKNOWN,-68.882478,341.452529,IIT_InterIIT_bilinear_interpolation,geospatially_derived,sub-degree_geographic_only,selenographic_IAU2015,false,Bilinear interp from OHRC corner coords. NOT manually verified. TMC-2 pixel NOT computed (image dims unavailable).
pair_020,P012,84519.5,8556.0,UNKNOWN,UNKNOWN,-68.882478,341.495803,IIT_InterIIT_bilinear_interpolation,geospatially_derived,sub-degree_geographic_only,selenographic_IAU2015,false,Bilinear interp from OHRC corner coords. NOT manually verified. TMC-2 pixel NOT computed (image dims unavailable).
pair_020,P013,9956.1,6893.3,UNKNOWN,UNKNOWN,-68.76114,341.279434,IIT_InterIIT_bilinear_interpolation,geospatially_derived,sub-degree_geographic_only,selenographic_IAU2015,false,Bilinear interp from OHRC corner coords. NOT manually verified. TMC-2 pixel NOT computed (image dims unavailable).
pair_020,P014,24636.3,6881.0,UNKNOWN,UNKNOWN,-68.76114,341.322708,IIT_InterIIT_bilinear_interpolation,geospatially_derived,sub-degree_geographic_only,selenographic_IAU2015,false,Bilinear interp from OHRC corner coords. NOT manually verified. TMC-2 pixel NOT computed (image dims unavailable).
pair_020,P015,39317.5,6868.7,UNKNOWN,UNKNOWN,-68.76114,341.365982,IIT_InterIIT_bilinear_interpolation,geospatially_derived,sub-degree_geographic_only,selenographic_IAU2015,false,Bilinear interp from OHRC corner coords. NOT manually verified. TMC-2 pixel NOT computed (image dims unavailable).
pair_020,P016,53999.9,6856.3,UNKNOWN,UNKNOWN,-68.76114,341.409255,IIT_InterIIT_bilinear_interpolation,geospatially_derived,sub-degree_geographic_only,selenographic_IAU2015,false,Bilinear interp from OHRC corner coords. NOT manually verified. TMC-2 pixel NOT computed (image dims unavailable).
pair_020,P017,68683.4,6844.0,UNKNOWN,UNKNOWN,-68.76114,341.452529,IIT_InterIIT_bilinear_interpolation,geospatially_derived,sub-degree_geographic_only,selenographic_IAU2015,false,Bilinear interp from OHRC corner coords. NOT manually verified. TMC-2 pixel NOT computed (image dims unavailable).
pair_020,P018,83368.0,6831.7,UNKNOWN,UNKNOWN,-68.76114,341.495803,IIT_InterIIT_bilinear_interpolation,geospatially_derived,sub-degree_geographic_only,selenographic_IAU2015,false,Bilinear interp from OHRC corner coords. NOT manually verified. TMC-2 pixel NOT computed (image dims unavailable).
pair_020,P019,8401.8,5169.2,UNKNOWN,UNKNOWN,-68.639802,341.279434,IIT_InterIIT_bilinear_interpolation,geospatially_derived,sub-degree_geographic_only,selenographic_IAU2015,false,Bilinear interp from OHRC corner coords. NOT manually verified. TMC-2 pixel NOT computed (image dims unavailable).
pair_020,P020,23160.1,5156.8,UNKNOWN,UNKNOWN,-68.639802,341.322708,IIT_InterIIT_bilinear_interpolation,geospatially_derived,sub-degree_geographic_only,selenographic_IAU2015,false,Bilinear interp from OHRC corner coords. NOT manually verified. TMC-2 pixel NOT computed (image dims unavailable).
pair_020,P021,37919.4,5144.5,UNKNOWN,UNKNOWN,-68.639802,341.365982,IIT_InterIIT_bilinear_interpolation,geospatially_derived,sub-degree_geographic_only,selenographic_IAU2015,false,Bilinear interp from OHRC corner coords. NOT manually verified. TMC-2 pixel NOT computed (image dims unavailable).
pair_020,P022,52679.9,5132.1,UNKNOWN,UNKNOWN,-68.639802,341.409255,IIT_InterIIT_bilinear_interpolation,geospatially_derived,sub-degree_geographic_only,selenographic_IAU2015,false,Bilinear interp from OHRC corner coords. NOT manually verified. TMC-2 pixel NOT computed (image dims unavailable).
pair_020,P023,67441.5,5119.7,UNKNOWN,UNKNOWN,-68.639802,341.452529,IIT_InterIIT_bilinear_interpolation,geospatially_derived,sub-degree_geographic_only,selenographic_IAU2015,false,Bilinear interp from OHRC corner coords. NOT manually verified. TMC-2 pixel NOT computed (image dims unavailable).
pair_020,P024,82204.2,5107.3,UNKNOWN,UNKNOWN,-68.639802,341.495803,IIT_InterIIT_bilinear_interpolation,geospatially_derived,sub-degree_geographic_only,selenographic_IAU2015,false,Bilinear interp from OHRC corner coords. NOT manually verified. TMC-2 pixel NOT computed (image dims unavailable).
pair_020,P025,6830.9,3445.1,UNKNOWN,UNKNOWN,-68.518464,341.279434,IIT_InterIIT_bilinear_interpolation,geospatially_derived,sub-degree_geographic_only,selenographic_IAU2015,false,Bilinear interp from OHRC corner coords. NOT manually verified. TMC-2 pixel NOT computed (image dims unavailable).
pair_020,P026,21668.0,3432.7,UNKNOWN,UNKNOWN,-68.518464,341.322708,IIT_InterIIT_bilinear_interpolation,geospatially_derived,sub-degree_geographic_only,selenographic_IAU2015,false,Bilinear interp from OHRC corner coords. NOT manually verified. TMC-2 pixel NOT computed (image dims unavailable).
pair_020,P027,36506.3,3420.3,UNKNOWN,UNKNOWN,-68.518464,341.365982,IIT_InterIIT_bilinear_interpolation,geospatially_derived,sub-degree_geographic_only,selenographic_IAU2015,false,Bilinear interp from OHRC corner coords. NOT manually verified. TMC-2 pixel NOT computed (image dims unavailable).
